hsc_trust,quarter_end,accident_emergency,anaesthetics,audiological,cardiac_surgery,cardiology,chemical_pathology,clinical_genetics,clinical_neuro-physiology,clinical_oncology,dental_medicine_specialties,dermatology,ent,endocrinology,gastroenterology,general_medicine,general_surgery,genito-urinary_medicine,geriatric_medicine,gynaecology,haematology_clinical,joint_consultant_clinics,learning_disability,medical_oncology,nephrology,neurology,neurosurgery,old_age_psychiatry,ophthalmology,oral_surgery,orthodontics,paediatric_dentistry,paediatric_neurology,paediatric_surgery,paediatrics,pain_management,palliative_medicine,plastic_surgery,radiology,rehabilitation,restorative_dentistry,rheumatology,t_o_surgery,thoracic_medicine,thoracic_surgery,urology
Belfast,9-2014,0,0,0,59,2550,43,766,0,136,476,2358,4735,605,3500,1418,7535,0,607,3609,214,140,39,46,213,3575,741,283,7621,682,78,369,161,785,1654,327,3,177,0,38,1666,1827,11664,1704,111,2761
Belfast,9-2015,0,0,0,70,2965,0,781,0,157,763,2273,6576,432,5086,2560,9142,0,615,4751,184,259,39,53,293,5310,758,380,10564,478,156,396,175,380,2878,793,5,149,0,30,1824,2680,22386,2059,53,3411
Belfast,9-2016,0,0,0,68,3052,2,669,0,144,446,3319,6703,596,3026,3349,8887,0,865,4796,213,178,45,60,310,4530,611,268,10326,278,72,402,137,493,3361,1845,6,108,0,57,1739,2561,24000,2225,66,4467
Northern,12-2013,0,0,0,0,910,44,0,0,0,0,1102,2865,0,2373,513,3023,0,112,2287,71,7,0,0,75,517,0,0,0,288,105,0,0,0,829,509,0,0,0,0,0,652,0,362,0,664
Northern,12-2014,0,0,0,0,1051,20,0,0,0,0,1844,3252,0,2899,602,4383,0,122,3308,184,21,0,0,66,510,0,0,0,0,109,0,0,0,788,743,0,0,0,0,0,852,0,895,0,916
Northern,12-2015,0,0,0,0,926,22,0,0,0,0,2667,5684,0,4062,715,5855,0,160,3309,123,7,0,0,116,952,0,0,0,0,84,0,0,0,676,1335,0,0,0,0,0,1740,0,927,0,518
Northern,12-2016,0,0,0,0,742,17,0,0,0,0,2152,6972,0,3384,800,4374,0,166,3057,171,29,0,0,171,756,0,0,0,0,77,0,0,0,1404,1502,0,0,0,0,0,2058,0,1449,0,0
Northern,3-2014,0,0,0,0,999,54,0,0,0,0,1075,3491,0,2092,551,3667,0,118,2691,79,21,0,0,70,438,0,0,0,455,130,0,0,0,853,593,0,0,0,0,0,751,0,498,0,891
Northern,3-2015,0,0,0,0,989,22,0,0,0,0,1910,4050,0,3370,714,4783,0,143,3505,107,8,0,0,69,659,0,0,0,0,104,0,0,0,985,967,0,0,0,0,0,1164,0,971,0,621
Northern,3-2016,0,0,0,0,916,20,0,0,0,0,1132,5440,0,2587,764,3716,0,139,3342,120,9,0,0,128,387,0,0,0,0,72,0,0,0,1114,813,0,0,0,0,0,1846,0,928,0,390
Northern,3-2017,0,0,0,0,887,33,0,0,0,0,2753,7234,0,3622,839,4662,0,184,3040,137,29,0,0,123,919,0,0,0,0,119,0,0,0,1496,1762,0,0,0,0,0,2202,0,1798,0,0
Northern,6-2014,0,0,0,0,978,29,0,0,0,0,1596,3931,0,2677,552,4124,0,144,2801,72,21,0,0,71,421,0,0,0,0,91,0,0,0,927,714,0,0,0,0,0,901,0,752,0,943
Northern,6-2015,0,0,0,0,1063,22,0,0,0,0,2228,4740,0,3690,722,5350,0,193,3567,94,17,0,0,65,706,0,0,0,0,101,0,0,0,950,1127,0,0,0,0,0,1522,0,989,0,525
Northern,6-2016,0,0,0,0,908,9,0,0,0,0,1654,6179,0,2953,735,3970,0,155,3461,127,19,0,0,141,536,0,0,0,0,73,0,0,0,1239,1077,0,0,0,0,0,1924,0,1037,0,0
Northern,6-2017,0,0,0,0,975,52,0,0,0,0,3014,7769,0,3783,814,5117,0,250,3077,179,17,0,0,133,1075,0,0,0,0,100,0,0,0,1604,1849,0,0,0,0,0,2270,0,2220,0,0
Northern,9-2014,0,0,0,0,991,21,0,0,0,0,1995,3039,0,2338,540,4217,0,134,3067,96,19,0,0,65,372,0,0,0,0,114,0,0,0,881,532,0,0,0,0,0,707,0,930,0,908
Northern,9-2015,0,0,0,0,1146,27,0,0,0,0,2570,5238,0,3900,771,6039,0,188,3602,125,8,0,0,99,809,0,0,0,0,127,0,0,0,847,1245,0,0,0,0,0,1611,0,946,0,444
Northern,9-2016,0,0,0,0,838,17,0,0,0,0,1985,6684,0,3193,769,4607,0,161,3478,139,18,0,0,164,700,0,0,0,0,94,0,0,0,1427,1323,0,0,0,0,0,2072,0,1207,0,0
South Eastern,12-2013,0,0,0,0,832,0,0,0,0,0,1382,2584,37,53,888,1486,0,187,2408,154,0,0,0,50,469,0,246,1604,722,0,0,0,119,637,326,0,849,0,0,0,718,154,386,0,629
South Eastern,12-2014,0,0,0,0,1642,0,0,0,0,0,2713,4792,83,152,1804,2233,0,318,3218,115,0,0,0,29,916,0,369,2499,2704,0,0,0,120,1103,427,0,1340,0,0,0,1393,213,750,0,2016
